code,name_en,definition_en,unit_code,topic,source_concept
CENSUS_INDV56_H_45TO49,Population By Industry: h_45to49 (Census 2021),"Source column h_45to49 from Indv56_PopulationByIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv56_PopulationByIndustry:h_45to49
CENSUS_INDV56_I_50TO54,Population By Industry: i_50to54 (Census 2021),"Source column i_50to54 from Indv56_PopulationByIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv56_PopulationByIndustry:i_50to54
CENSUS_INDV56_J_55TO59,Population By Industry: j_55to59 (Census 2021),"Source column j_55to59 from Indv56_PopulationByIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv56_PopulationByIndustry:j_55to59
CENSUS_INDV56_K_60TO64,Population By Industry: k_60to64 (Census 2021),"Source column k_60to64 from Indv56_PopulationByIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv56_PopulationByIndustry:k_60to64
CENSUS_INDV56_L_65PLS,Population By Industry: l_65pls (Census 2021),"Source column l_65pls from Indv56_PopulationByIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv56_PopulationByIndustry:l_65pls
CENSUS_INDV57_ROWTOTAL,Population By Occupation And Industry: rowtotal (Census 2021),"Source column rowtotal from Indv57_PopulationByOccupationAndIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv57_PopulationByOccupationAndIndustry:rowtotal
CENSUS_INDV57_A_ARMED,Population By Occupation And Industry: a_armed (Census 2021),"Source column a_armed from Indv57_PopulationByOccupationAndIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv57_PopulationByOccupationAndIndustry:a_armed
CENSUS_INDV57_B_MANAGR,Population By Occupation And Industry: b_managr (Census 2021),"Source column b_managr from Indv57_PopulationByOccupationAndIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv57_PopulationByOccupationAndIndustry:b_managr
CENSUS_INDV57_C_PROFESNL,Population By Occupation And Industry: c_profesnl (Census 2021),"Source column c_profesnl from Indv57_PopulationByOccupationAndIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv57_PopulationByOccupationAndIndustry:c_profesnl
CENSUS_INDV57_D_TECHNICIAN,Population By Occupation And Industry: d_technician (Census 2021),"Source column d_technician from Indv57_PopulationByOccupationAndIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv57_PopulationByOccupationAndIndustry:d_technician
