code,wdi_code,name_wb,topic,unit_code,wb_topic,latest_year,latest_value
NE_GDI_FTOT_KD,NE.GDI.FTOT.KD,Gross fixed capital formation (constant 2015 US$),economy,USD,Economy & Growth,2025,9493583100.03228
NE_GDI_FTOT_KD_ZG,NE.GDI.FTOT.KD.ZG,Gross fixed capital formation (annual % growth),economy,PCT,Economy & Growth,2025,-4.05784788166498
NE_GDI_FTOT_KN,NE.GDI.FTOT.KN,Gross fixed capital formation (constant LCU),economy,LCU,Economy & Growth,2025,758681023500.0
NE_GDI_FTOT_ZS,NE.GDI.FTOT.ZS,Gross fixed capital formation (% of GDP),economy,PCT,Economy & Growth,2025,23.5721759320562
NE_GDI_STKB_CD,NE.GDI.STKB.CD,Changes in inventories (current US$),economy,USD,Economy & Growth,2025,2652776083.97537
NE_GDI_STKB_CN,NE.GDI.STKB.CN,Changes in inventories (current LCU),economy,LCU,Economy & Growth,2025,361550285177.256
NE_GDI_STKB_KN,NE.GDI.STKB.KN,Changes in inventories (constant LCU),economy,LCU,Economy & Growth,2025,189165949400.0
NE_GDI_TOTL_CD,NE.GDI.TOTL.CD,Gross capital formation (current US$),economy,USD,Economy & Growth,2025,13375714195.0693
NE_GDI_TOTL_CN,NE.GDI.TOTL.CN,Gross capital formation (current LCU),economy,LCU,Economy & Growth,2025,1822993395820.17
NE_GDI_TOTL_KD,NE.GDI.TOTL.KD,Gross capital formation (constant 2015 US$),economy,USD,Economy & Growth,2025,11894261427.0894
NE_GDI_TOTL_KD_ZG,NE.GDI.TOTL.KD.ZG,Gross capital formation (annual % growth),economy,PCT,Economy & Growth,2025,3.04359005777069
NE_GDI_TOTL_KN,NE.GDI.TOTL.KN,Gross capital formation (constant LCU),economy,LCU,Economy & Growth,2025,947846972800.0
NE_GDI_TOTL_ZS,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),economy,PCT,Economy & Growth,2025,29.4037590216874
NE_IMP_GNFS_CD,NE.IMP.GNFS.CD,Imports of goods and services (current US$),economy,USD,Economy & Growth,2025,15341170693.8035
NE_IMP_GNFS_CN,NE.IMP.GNFS.CN,Imports of goods and services (current LCU),economy,LCU,Economy & Growth,2025,2090868005333.35
NE_IMP_GNFS_KD,NE.IMP.GNFS.KD,Imports of goods and services (constant 2015 US$),economy,USD,Economy & Growth,2025,14021643963.6876
NE_IMP_GNFS_KD_ZG,NE.IMP.GNFS.KD.ZG,Imports of goods and services (annual % growth),economy,PCT,Economy & Growth,2025,6.29479911455493
NE_IMP_GNFS_KN,NE.IMP.GNFS.KN,Imports of goods and services (constant LCU),economy,LCU,Economy & Growth,2025,1093958565200.0
NE_RSB_GNFS_CD,NE.RSB.GNFS.CD,External balance on goods and services (current US$),economy,USD,Economy & Growth,2025,-11325496917.0151
NE_RSB_GNFS_CN,NE.RSB.GNFS.CN,External balance on goods and services (current LCU),economy,LCU,Economy & Growth,2025,-1543566630013.01
NE_RSB_GNFS_KN,NE.RSB.GNFS.KN,External balance on goods and services (constant LCU),economy,LCU,Economy & Growth,2025,-845587925500.0
NE_RSB_GNFS_ZS,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),economy,PCT,Economy & Growth,2025,-24.896777644332
NE_TRD_GNFS_ZS,NE.TRD.GNFS.ZS,Trade (% of GDP),economy,PCT,Economy & Growth,2025,42.5520448428369
NV_AGR_EMPL_KD,NV.AGR.EMPL.KD,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",economy,USD,Economy & Growth,2025,5039.37190969192
NV_AGR_TOTL_CN,NV.AGR.TOTL.CN,"Agriculture, forestry, and fishing, value added (current LCU)",economy,LCU,Economy & Growth,2025,1336555375418.64
NV_AGR_TOTL_KD,NV.AGR.TOTL.KD,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",economy,USD,Economy & Growth,2025,8645297403.22628
NV_AGR_TOTL_KD_ZG,NV.AGR.TOTL.KD.ZG,"Agriculture, forestry, and fishing, value added (annual % growth)",economy,PCT,Economy & Growth,2025,3.04960047390317
NV_AGR_TOTL_KN,NV.AGR.TOTL.KN,"Agriculture, forestry, and fishing, value added (constant LCU)",economy,LCU,Economy & Growth,2025,725010961124.568
NV_FSM_TOTL_CN,NV.FSM.TOTL.CN,Financial intermediary services indirectly Measured (FISIM) (current LCU),economy,LCU,Economy & Growth,2010,35156285900.0
NV_IND_EMPL_KD,NV.IND.EMPL.KD,"Industry (including construction), value added per worker (constant 2015 US$)",economy,USD,Economy & Growth,2025,2170.76158530236
NV_IND_MANF_CD,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",economy,USD,Economy & Growth,2025,2266413322.05255
