content_id,category,title_ne,title_en,published_date_raw,bs_date_guess,pdf_url,sha256,retrieved_at
394,budget-speech,Budget Speech 2020/21,,"साउन १६, २०७७, शनिबार ०:०",2077-04-16,https://giwmscdnone.gov.np/media/pdf_upload/Budget%20Speech%202020-21_d0coo4e.pdf,72e0ea64379976ea683cef3477533a02291938866e26d3d139ef8c5b5e7aced5,2026-09-03T16:48:15.818575+00:00
395,budget-speech,Budget Speech 2019/20,,"असोज १३, २०७६, मंगलबार ०:०",2076-06-13,https://giwmscdnone.gov.np/media/pdf_upload/Budget%20Speech%202019-20_qt10rru.pdf,f21efed2e2b06086f0840b09b7cea44f61e30a446e3f5f0f2c3f7af7fc5d1d05,2026-09-03T16:48:21.604989+00:00
452,redbook,व्यय अनुमानको विवरण २०७३/७४,,"जेठ १५, २०७३, आइतबार ०:०",2073-02-15,https://giwmscdnone.gov.np/media/pdf_upload/%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%AF%20%E0%A4%85%E0%A4%A8%E0%A5%81%E0%A4%AE%E0%A4%BE%E0%A4%A8%E0%A4%95%E0%A5%8B%20%E0%A4%B5%E0%A4%BF%E0%A4%B5%E0%A4%B0%E0%A4%A3%20%E0%A5%A8%E0%A5%A6%E0%A5%AD%E0%A5%A9-%E0%A5%AD%E0%A5%AA_l24f95n.pdf,100eaf042d6fe43a43510a799fd16a51caa67cbbcd7830d668975a107fbbf0d3,2026-09-03T16:49:10.538376+00:00
453,redbook,व्यय अनुमानको विवरण २०७२/७३,,"असार २८, २०७२, मंगलबार ०:०",2072-03-28,https://giwmscdnone.gov.np/media/pdf_upload/%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%AF%20%E0%A4%85%E0%A4%A8%E0%A5%81%E0%A4%AE%E0%A4%BE%E0%A4%A8%E0%A4%95%E0%A5%8B%20%E0%A4%B5%E0%A4%BF%E0%A4%B5%E0%A4%B0%E0%A4%A3%20%E0%A5%A8%E0%A5%A6%E0%A5%AD%E0%A5%A8-%E0%A5%AD%E0%A5%A9_2qteqov.pdf,418b719ad3a01f1af7d6600b8e1474f8125ce6f0a3569381d470c8f54cff2434,2026-09-03T16:49:14.844138+00:00
456,whitebook,आर्थिक बर्ष २०६५ / ६६ को वैदेशिक सहायता आयोजनाहरुको स्रोत पुस्तिका,,"साउन ५, २०७०, आइतबार ०:०",2070-04-05,https://giwmscdnone.gov.np/media/pdf_upload/%E0%A4%86%E0%A4%B0%E0%A5%8D%E0%A4%A5%E0%A4%BF%E0%A4%95%20%E0%A4%AC%E0%A4%B0%E0%A5%8D%E0%A4%B7%20%E0%A5%A8%E0%A5%A6%E0%A5%AC%E0%A5%AB%20-%E0%A5%AC%E0%A5%AC%20%E0%A4%95%E0%A5%8B%20%E0%A4%B5%E0%A5%88%E0%A4%A6%E0%A5%87%E0%A4%B6%E0%A4%BF%E0%A4%95%20%E0%A4%B8%E0%A4%B9%E0%A4%BE%E0%A4%AF%E0%A4%A4%E0%A4%BE%20%E0%A4%86%E0%A4%AF%E0%A5%8B%E0%A4%9C%E0%A4%A8%E0%A4%BE%E0%A4%B9%E0%A4%B0%E0%A5%81%E0%A4%95%E0%A5%8B%20%E0%A4%B8%E0%A5%8D%E0%A4%B0%E0%A5%8B%E0%A4%A4%20%E0%A4%AA%E0%A5%81%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BF%E0%A4%95%E0%A4%BE_az1pmgw.pdf,e5abe229cb2a05df5f1500eca05e859a44a253c4626bf0d4d8e399943da3fd09,2026-09-03T16:50:12.039557+00:00
457,whitebook,Source Book: White Book FY 2021-22,,"जेठ १५, २०७८, आइतबार ०:०",2078-02-15,https://giwmscdnone.gov.np/media/pdf_upload/Source%20Book%20%20White%20Book%20FY%202021-22_azz4yjf.pdf,a1bc94d0ec1b138bae10c165bd0e853a390f3792aed29615c18b66eb39aa7b52,2026-09-03T16:49:40.994411+00:00
458,whitebook,Source Book: White Book FY 2020-21,,"असार ७, २०७७, सोमबार ०:०",2077-03-07,https://giwmscdnone.gov.np/media/pdf_upload/Source%20Book%20White%20Book%20FY%202020-21_dkjqgrt.pdf,6bc7eace7ea8b31bf93d081d42854be52dce8937925c76b7ccea74db9e6aebc6,2026-09-03T16:49:47.176676+00:00
459,whitebook,Source Book: White Book FY 2015-16,,"असार २८, २०७२, मंगलबार ०:०",2072-03-28,https://giwmscdnone.gov.np/media/pdf_upload/Source%20Book%20White%20Book%20FY%202015-16_7jvoiky.pdf,6830f955d6773926c2a2d70bcfff4e8c82e1fc446cc465e89af255f9c9d46810,2026-09-03T16:49:52.580070+00:00
460,whitebook,आर्थिक बर्ष २०७१ / ७२ को वैदेशिक सहायता आयोजनाहरुको स्रोत पुस्तिका,,"असार २८, २०७१, आइतबार ०:०",2071-03-28,https://giwmscdnone.gov.np/media/pdf_upload/%E0%A4%86%E0%A4%B0%E0%A5%8D%E0%A4%A5%E0%A4%BF%E0%A4%95%20%E0%A4%AC%E0%A4%B0%E0%A5%8D%E0%A4%B7%20%E0%A5%A8%E0%A5%A6%E0%A5%AD%E0%A5%A7-%20%E0%A5%AD%E0%A5%A8%20%E0%A4%95%E0%A5%8B%20%E0%A4%B5%E0%A5%88%E0%A4%A6%E0%A5%87%E0%A4%B6%E0%A4%BF%E0%A4%95%20%E0%A4%B8%E0%A4%B9%E0%A4%BE%E0%A4%AF%E0%A4%A4%E0%A4%BE%20%E0%A4%86%E0%A4%AF%E0%A5%8B%E0%A4%9C%E0%A4%A8%E0%A4%BE%E0%A4%B9%E0%A4%B0%E0%A5%81%E0%A4%95%E0%A5%8B%20%E0%A4%B8%E0%A5%8D%E0%A4%B0%E0%A5%8B%E0%A4%A4%20%E0%A4%AA%E0%A5%81%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BF%E0%A4%95%E0%A4%BE_8xjyyod.pdf,77cf42039d3ae65cbfd3012f910acbd856f4f094fecf5625df6f303562c359bc,2026-09-03T16:49:55.327020+00:00
461,whitebook,आर्थिक बर्ष २०६७ / ६८ को वैदेशिक सहायता आयोजनाहरुको स्रोत पुस्तिका,,"साउन ६, २०७०, सोमबार ०:०",2070-04-06,https://giwmscdnone.gov.np/media/pdf_upload/%E0%A4%86%E0%A4%B0%E0%A5%8D%E0%A4%A5%E0%A4%BF%E0%A4%95%20%E0%A4%AC%E0%A4%B0%E0%A5%8D%E0%A4%B7%20%E0%A5%A8%E0%A5%A6%E0%A5%AC%E0%A5%AD%20-%E0%A5%AC%E0%A5%AE%20%E0%A4%95%E0%A5%8B%20%E0%A4%B5%E0%A5%88%E0%A4%A6%E0%A5%87%E0%A4%B6%E0%A4%BF%E0%A4%95%20%E0%A4%B8%E0%A4%B9%E0%A4%BE%E0%A4%AF%E0%A4%A4%E0%A4%BE%20%E0%A4%86%E0%A4%AF%E0%A5%8B%E0%A4%9C%E0%A4%A8%E0%A4%BE%E0%A4%B9%E0%A4%B0%E0%A5%81%E0%A4%95%E0%A5%8B%20%E0%A4%B8%E0%A5%8D%E0%A4%B0%E0%A5%8B%E0%A4%A4%20%E0%A4%AA%E0%A5%81%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BF%E0%A4%95%E0%A4%BE_31acuu6.pdf,bf784a43fd098cb644e90ef0cec424a12e66a7989ceb53418170ada9022dd3be,2026-09-03T16:50:01.034637+00:00
